File name:,NGADG0009.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact:,"Jianqiu Zheng (zhengj@ornl.gov), David Graham (grahamde@ornl.gov)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Modified:,2018-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modified By:,Jianqiu Zheng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGEE Arctic Dataset DOI:,https://doi.org/10.5440/1440029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cite Dataset As:,"Jianqiu Zheng, Taniya RoyChowdhury, Elizabeth Herndon, Ziming Yang, Baohua Gu, Stan Wullschleger, David Graham. 2018. Synthesis of Soil Geochemical Characteristics and Organic Carbon Degradation from Arctic Polygon Tundra, Barrow, Alaska. Next Generation Ecosystem Experiments Arctic Data Collection, Oak Ridge National Laboratory, U.S. Department of Energy, Oak Ridge, Tennessee, USA. Dataset accessed on [insert_date] at https://doi.org/10.5440/1440029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core_ID,Soil_layer,Polygon Type,Microtopography,Upper_depth_of_soil_layer,Lower_depth_of_soil_layer,Moisture,SOC,C_N_ratio,Headspace,Incubation_Temperature,Incubation_Time,CO2_1,CO2_1_Rate,CO2_1_Fit,CO2_2,CO2_2_Rate,CO2_2_Fit,CO2_3,CO2_3_Rate,CO2_3_Fit,CH4_1,CH4_1_Rate,CH4_1_Fit,CH4_2,CH4_2_Rate,CH4_2_Fit,CH4_3,CH4_3_Rate,CH4_3_Fit,WEOC,TOAC,Formate,Acetate,Propionate,Butyrate,Fe_II,pH
,,,,cm,cm,g H2O g-1 soil,%,,Anoxic,deg_C,Day,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt day-1,,umol g-1 dwt,umol g-1 dwt,umol g-1 dwt,umol g-1 dwt,umol g-1 dwt,umol g-1 dwt,umol g-1 dwt,
NGADG0009,Organic,LCP,Trough,0,19,2.48,20.55,19,Anoxic,-2,0,-9999,1.58,Hyperbolic,-9999,1.45,Hyperbolic,-9999,1.57,Hyperbolic,-9999,0.0001,Linear,-9999,0.0001,Linear,-9999,0.0001,Linear,64.2,0.422,0.03,0.06,0.09,0,38.85,5.23
NGADG0009,Organic,LCP,Trough,0,19,2.48,20.55,19,Anoxic,-2,1,6.34,-9999,-9999,6.76,-9999,-9999,6.11,-9999,-9999,0,-9999,-9999,0,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0009,Organic,LCP,Trough,0,19,2.48,20.55,19,Anoxic,-2,5,15.6,-9999,-9999,8.72,-9999,-9999,11.3,-9999,-9999,0,-9999,-9999,0,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0009,Organic,LCP,Trough,0,19,2.48,20.55,19,Anoxic,-2,7,8.84,-9999,-9999,8.57,-9999,-9999,10.8,-9999,-9999,0,-9999,-9999,0,-9999,-9999,0.0636,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0009,Organic,LCP,Trough,0,19,2.48,20.55,19,Anoxic,-2,9,10.3,-9999,-9999,9.73,-9999,-9999,9.95,-9999,-9999,0.958,-9999,-9999,0.374,-9999,-9999,0.303,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0009,Organic,LCP,Trough,0,19,2.48,20.55,19,Anoxic,-2,17,13.2,-9999,-9999,10.8,-9999,-9999,14.2,-9999,-9999,1.68,-9999,-9999,0.303,-9999,-9999,0.228,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,39.8,5.23
NGADG0009,Organic,LCP,Trough,0,19,2.48,20.55,19,Anoxic,-2,21,12.2,-9999,-9999,11,-9999,-9999,14.9,-9999,-9999,0,-9999,-9999,0,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0009,Organic,LCP,Trough,0,19,2.48,20.55,19,Anoxic,-2,26,11.6,-9999,-9999,10.5,-9999,-9999,14.8,-9999,-9999,0,-9999,-9999,0,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0009,Organic,LCP,Trough,0,19,2.48,20.55,19,Anoxic,-2,30,14.1,-9999,-9999,12.8,-9999,-9999,16.8,-9999,-9999,0,-9999,-9999,0,-9999,-9999,0,-9999,-9999,86.7,1.574,0.02,0.41,0.25,0,69.6,5.55
NGADG0009,Organic,LCP,Trough,0,19,2.48,20.55,19,Anoxic,-2,37,18.3,-9999,-9999,17.7,-9999,-9999,21.7,-9999,-9999,0.0619,-9999,-9999,0.139,-9999,-9999,0.272,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0009,Organic,LCP,Trough,0,19,2.48,20.55,19,Anoxic,-2,44,20,-9999,-9999,16.5,-9999,-9999,23.9,-9999,-9999,0.332,-9999,-9999,0.202,-9999,-9999,0.389,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0009,Organic,LCP,Trough,0,19,2.48,20.55,19,Anoxic,-2,51,21.4,-9999,-9999,19.7,-9999,-9999,25.3,-9999,-9999,0.131,-9999,-9999,0.152,-9999,-9999,0.342,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
NGADG0009,Organic,LCP,Trough,0,19,2.48,20.55,19,Anoxic,-2,57,29.1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0,-9999,-9999,0,-9999,-9999,108,1.146,0.06,0.41,0.09,0,84.7,6.15
NGADG0009,Organic,LCP,Trough,0,19,2.48,20.55,19,Anoxic,4,0,-9999,4.08,Hyperbolic,-9999,4.34,Hyperbolic,-9999,3.89,Hyperbolic,-9999,0.0753,Linear,-9999,0.0373,Linear,-9999,0.0377,Linear,64.2,0.422,0.03,0.06,0.09,0,38.85,5.23
NGADG0009,Organic,LCP,Trough,0,19,2.48,20.55,19,Anoxic,4,1,10.4,-9999,-9999,7.89,-9999,-9999,7.08,-9999,-9999,0,-9999,-9999,0,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
