Year,Sample,Temp_range,moisture,moisture_units,Q10,Species,Latitude,Longitude,Manipulation,Ecosystem_type,Biome,Source,Incubation,notes,StudyName,DOI
2005,,,,,3.8,CH4,,,,fen,boreal,Rinne2018,,,Rinne2018,https://doi.org/10.1029/2017GB005747
2006,,,,,4.4,CH4,,,,fen,boreal,Rinne2018,,,Rinne2018,https://doi.org/10.1029/2017GB005747
2007,,,,,5.9,CH4,,,,fen,boreal,Rinne2018,,,Rinne2018,https://doi.org/10.1029/2017GB005747
2008,,,,,5.2,CH4,,,,fen,boreal,Rinne2018,,,Rinne2018,https://doi.org/10.1029/2017GB005747
2009,,,,,5.9,CH4,,,,fen,boreal,Rinne2018,,,Rinne2018,https://doi.org/10.1029/2017GB005747
2010,,,,,5.8,CH4,,,,fen,boreal,Rinne2018,,,Rinne2018,https://doi.org/10.1029/2017GB005747
2011,,,,,4.5,CH4,,,,fen,boreal,Rinne2018,,,Rinne2018,https://doi.org/10.1029/2017GB005747
2012,,,,,6.6,CH4,,,,fen,boreal,Rinne2018,,,Rinne2018,https://doi.org/10.1029/2017GB005747
2013,,,,,12,CH4,,,,fen,boreal,Rinne2018,,,Rinne2018,https://doi.org/10.1029/2017GB005747
2014,,,,,11,CH4,,,,fen,boreal,Rinne2018,,,Rinne2018,https://doi.org/10.1029/2017GB005747
2015,,,,,6.1,CH4,,,,fen,boreal,Rinne2018,,,Rinne2018,https://doi.org/10.1029/2017GB005747
,,,,,,,,,,,,,,,,
,,,,,4.4,CH4,,,,,,Rinne2018,,night time,Kim1998,https://doi.org/10.1046/j.1365-2486.1999.00237.x
,,,,,6.6,CH4,,,,,,Rinne2018,,day time,Kim1998,https://doi.org/10.1046/j.1365-2486.1999.00237.x
,,,,,,CH4,,,,mire,subarctic,Rinne2018,,3.3to5.3,Jackowicz-Korczyński2010,https://doi.org/doi:10.1029/2008JG000913
,,,,,4.3,CH4,,,,,,Rinne2018,,,Mikhaylov2015,https://doi.org/10.1134/S1995425515030099
,,,,,2.4,CH4,,,,,,Rinne2018,,,Marushchak2016,https://doi.org/10.5194/bg-13-597-2016
