Study_number,Respiration_type
6540,heterotrophic
5526,heterotrophic
5524,heterotrophic
5522,heterotrophic
5317,heterotrophic
5824,heterotrophic
6090,heterotrophic
5866,heterotrophic
5927,heterotrophic
6029,heterotrophic
5876,heterotrophic
4340,heterotrophic
6334,heterotrophic
7517,heterotrophic
7587,heterotrophic
7150,heterotrophic
6548,heterotrophic
6822,heterotrophic
7491,heterotrophic
8896,heterotrophic
10087,heterotrophic
10104,heterotrophic
10342,heterotrophic
10075,heterotrophic
10351,heterotrophic
10362,heterotrophic
7527,heterotrophic
7868,heterotrophic
7477,heterotrophic
7721,heterotrophic
7678,heterotrophic
7689,heterotrophic
10006,heterotrophic
10460,heterotrophic
10464,heterotrophic
10465,heterotrophic
10467,heterotrophic
10472,heterotrophic
