temperature_c,Q10
0,2.66
2.5,5.89
5,8.44
5,4.57
5,3.93
5,4.29
7.5,3.13
7.5,6.72
7.5,10
7.5,1.52
7.5,3.23
7.5,3.54
7.5,3.9
10,1.57
10,2.62
10,2.98
10,3.43
10,5.2
12,2.73
12,4.78
12,4.42
12,1.9
12,2.12
12,2.59
12,2.81
12,3.37
12,7.21
15,3.23
15,1.57
15,1.76
15,1.95
15,2.31
15,2.81
15,6.13
16,2.84
17.5,2.15
17.5,1.68
17.5,1.45
17.5,1.92
17.5,2.75
18,1.95
18,4.44
20,1.89
20,2.14
20,2.5
20,2.72
22.5,1.45
22.5,1.64
22.5,1.84
22.5,4.13
22.5,2.17
22.5,3.41
23,1.48
25,1.89
25,2.28
25,1.61
27.5,1.17
27.5,1.83
27.5,1.69
30,2.08
30,1.52
30,1.25
32.5,1.69
32.5,0.829
32.5,1.22
32.5,2.65
33,3.23
35,0.882
35,1.63
35,1.93
35,2.13
