"Q10_study_ID","SRDB_study_ID","Source","StudyName","DOI"
1,,"Bagherzadeh2008","Bagherzadeh2008","https://doi.org/10.1007/s11676-008-0018-3"
2,,"Bagherzadeh2008","Boone1998","https://doi.org/10.1038/25119"
3,"SRDB-10241","SRDB","SRDB-10241",
4,"SRDB-1987","SRDB","SRDB-1987",
5,"SRDB-2001","SRDB","SRDB-2001",
6,"SRDB-2029","SRDB","SRDB-2029",
7,"SRDB-2035","SRDB","SRDB-2035",
8,"SRDB-2037","SRDB","SRDB-2037",
9,"SRDB-10266","SRDB","SRDB-10266",
10,"SRDB-205","SRDB","SRDB-205",
11,"SRDB-2065","SRDB","SRDB-2065",
12,"SRDB-2081","SRDB","SRDB-2081",
13,"SRDB-2102","SRDB","SRDB-2102",
14,"SRDB-211","SRDB","SRDB-211",
15,"SRDB-2115","SRDB","SRDB-2115",
16,"SRDB-2129","SRDB","SRDB-2129",
17,,"Smith2011","Borken1999","https://doi.org/10.2136/sssaj1999.6361848x"
18,"SRDB-2150","SRDB","SRDB-2150",
19,"SRDB-2154","SRDB","SRDB-2154",
20,"SRDB-2182","SRDB","SRDB-2182",
21,"SRDB-1028","SRDB","SRDB-1028",
22,"SRDB-2197","SRDB","SRDB-2197",
23,"SRDB-220","SRDB","SRDB-220",
24,"SRDB-2233","SRDB","SRDB-2233",
25,"SRDB-2238","SRDB","SRDB-2238",
26,"SRDB-2239","SRDB","SRDB-2239",
27,"SRDB-10342","SRDB","SRDB-10342",
28,"SRDB-2241","SRDB","SRDB-2241",
29,"SRDB-2251","SRDB","SRDB-2251",
30,"SRDB-2263","SRDB","SRDB-2263",
31,"SRDB-2265","SRDB","SRDB-2265",
32,"SRDB-2294","SRDB","SRDB-2294",
33,"SRDB-2305","SRDB","SRDB-2305",
34,"SRDB-2318","SRDB","SRDB-2318",
35,"SRDB-10351","SRDB","SRDB-10351",
36,"SRDB-2325","SRDB","SRDB-2325",
37,,"Bagherzadeh2008","Borken2002","https://doi.org/10.1046/j.1365-2486.2002.00547.x"
38,"SRDB-10362","SRDB","SRDB-10362",
39,"SRDB-2326","SRDB","SRDB-2326",
40,"SRDB-10373","SRDB","SRDB-10373",
41,"SRDB-2331","SRDB","SRDB-2331",
42,"SRDB-2349","SRDB","SRDB-2349",
43,"SRDB-2352","SRDB","SRDB-2352",
44,"SRDB-2354","SRDB","SRDB-2354",
45,"SRDB-2355","SRDB","SRDB-2355",
46,"SRDB-2369","SRDB","SRDB-2369",
47,"SRDB-2372","SRDB","SRDB-2372",
48,"SRDB-2373","SRDB","SRDB-2373",
49,"SRDB-2387","SRDB","SRDB-2387",
50,"SRDB-2396","SRDB","SRDB-2396",
51,"SRDB-2412","SRDB","SRDB-2412",
