Year,Sample,Temp_range,moisture,moisture_units,Q10,Species,Latitude,Longitude,Manipulation,Ecosystem_type,Biome,Source,Incubation,notes,StudyName,DOI
,,2,,,2,CH4,,,,,,Xu2016,,,Christensen1995,https://doi.org/10.3402/tellusb.v47i3.16049
,,30,,,3,CH4,,,,,,Xu2016,,,Huang1998b,https://doi.org/10.1046/j.1365-2486.1998.00129.x
,,22,,,2,CH4,,,,,,Xu2016,,,Riley2011,https://doi.org/10.5194/bg-8-1925-2011
,,13.5,,,1.5,CH4,,,,,,Xu2016,,,Xu2015,https://doi.org/10.1002/2015JG002935
,,30,,,2.5,CH4,,,,,,Xu2016,,,Tian2010,https://doi.org/10.5194/bg-7-2673-2010
,,10,,,4,CH4,,,,,,Xu2016,,,Kettunen2003,https://doi.org/10.1029/2002GB001958
,,,,,2.6,CH4,,,,,,Xu2016,,,Ringeval2010,https://doi.org/10.1029/2008GB003354
,,,,,3.2,CH4,,,,,,Xu2016,,,Ringeval2010,https://doi.org/10.1029/2008GB003354
,,,,,1.2,CH4,,,,,,Xu2016,,,Ringeval2010,https://doi.org/10.1029/2008GB003354
,,-3,,,3.5,CH4,,,,,,Xu2016,,,Zhuang2004,https://doi.org/10.1029/2004GB002239
,,8,,,0.8,CH4,,,,,,Xu2016,,,Zhuang2004,https://doi.org/10.1029/2004GB002239
,,-5.5,,,2.2,CH4,,,,,,Xu2016,,,Zhuang2004,https://doi.org/10.1029/2004GB002239
,,8,,,1.1,CH4,,,,,,Xu2016,,,Zhuang2004,https://doi.org/10.1029/2004GB002239
,,1,,,1.9,CH4,,,,,,Xu2016,,,Zhuang2004,https://doi.org/10.1029/2004GB002239
,,7,,,1.5,CH4,,,,,,Xu2016,,,Zhuang2004,https://doi.org/10.1029/2004GB002239
,,,,,2,CH4,,,,,,Xu2016,,,Walter2000,https://doi.org/10.1029/1999GB001204
,,,,,2.03,CH4,,,,,boreal,Xu2016,,,Zhu2014,https://doi.org/10.5194/gmd-7-981-2014
,,,,,2.66,CH4,,,,,temperate,Xu2016,,,Zhu2014,https://doi.org/10.5194/gmd-7-981-2014
,,,,,3.75,CH4,,,,,tropical,Xu2016,,,Zhu2014,https://doi.org/10.5194/gmd-7-981-2014
,,,,,6,CH4,,,,,,Zhu2014,,,Walter2001,https://doi.org/10.1029/2001JD900165
